edrpou,date,has_practice
00583867,2020-05-11,True
00583867,2020-05-12,True
00583867,2020-05-13,True
00583867,2020-05-14,True
00583867,2020-05-15,True
00583867,2020-05-16,True
00583867,2020-05-17,True
00583867,2020-05-18,True
00583867,2020-05-19,True
00583867,2020-05-20,True
00583867,2020-05-21,True
00583867,2020-05-22,True
00583867,2020-05-23,True
00583867,2020-05-24,True
00583867,2020-05-25,True
00583867,2020-05-26,True
00583867,2020-05-27,True
00583867,2020-05-28,True
00583867,2020-05-29,False
00583867,2020-05-30,False
00583867,2020-05-31,False
36183874,2020-05-01,False
36183874,2020-05-02,False
36183874,2020-05-03,False
36183874,2020-05-04,False
36183874,2020-05-05,False
36183874,2020-05-06,False
36183874,2020-05-07,False
36183874,2020-05-08,False
36183874,2020-05-09,False
36183874,2020-05-10,False
36183874,2020-05-11,False
36183874,2020-05-12,False
36183874,2020-05-13,False
36183874,2020-05-14,False
36183874,2020-05-15,False
36183874,2020-05-16,False
36183874,2020-05-17,False
36183874,2020-05-18,False
36183874,2020-05-19,False
36183874,2020-05-20,False
36183874,2020-05-21,False
36183874,2020-05-22,False
36183874,2020-05-23,False
36183874,2020-05-24,False
36183874,2020-05-25,False
36183874,2020-05-26,False
36183874,2020-05-27,False
36183874,2020-05-28,True
36183874,2020-05-29,True
36183874,2020-05-30,True
36183874,2020-05-31,True
60203807,2020-05-01,True
60203807,2020-05-02,True
60203807,2020-05-03,True
60203807,2020-05-04,True
60203807,2020-05-05,True
60203807,2020-05-06,True
60203807,2020-05-07,True
60203807,2020-05-08,True
60203807,2020-05-09,True
60203807,2020-05-10,True
60203807,2020-05-11,True
60203807,2020-05-12,True
60203807,2020-05-13,True
60203807,2020-05-14,True
60203807,2020-05-15,True
60203807,2020-05-16,True
60203807,2020-05-17,True
60203807,2020-05-18,True
60203807,2020-05-19,True
60203807,2020-05-20,True
60203807,2020-05-21,True
60203807,2020-05-22,True
60203807,2020-05-23,True
60203807,2020-05-24,True
60203807,2020-05-25,True
60203807,2020-05-26,True
60203807,2020-05-27,True
60203807,2020-05-28,True
60203807,2020-05-29,False
60203807,2020-05-30,False
60203807,2020-05-31,False
87493988,2020-05-01,False
87493988,2020-05-02,False
87493988,2020-05-03,False
87493988,2020-05-04,False
87493988,2020-05-05,False
87493988,2020-05-06,False
87493988,2020-05-07,False
87493988,2020-05-08,False
87493988,2020-05-09,False
87493988,2020-05-10,False
87493988,2020-05-11,False
87493988,2020-05-12,False
87493988,2020-05-13,False
87493988,2020-05-14,False
87493988,2020-05-15,False
87493988,2020-05-16,False
87493988,2020-05-17,False
87493988,2020-05-18,False
87493988,2020-05-19,False
87493988,2020-05-20,False
87493988,2020-05-21,False
87493988,2020-05-22,False
87493988,2020-05-23,False
87493988,2020-05-24,False
87493988,2020-05-25,False
87493988,2020-05-26,False
87493988,2020-05-27,False
87493988,2020-05-28,True
87493988,2020-05-29,True
87493988,2020-05-30,True
87493988,2020-05-31,True
28924380,2020-05-01,False
28924380,2020-05-02,False
28924380,2020-05-03,False
28924380,2020-05-04,False
28924380,2020-05-05,False
28924380,2020-05-06,False
28924380,2020-05-07,True
28924380,2020-05-08,True
28924380,2020-05-09,True
28924380,2020-05-10,True
28924380,2020-05-11,True
28924380,2020-05-12,True
28924380,2020-05-13,True
28924380,2020-05-14,True
28924380,2020-05-15,True
28924380,2020-05-16,True
28924380,2020-05-17,True
28924380,2020-05-18,True
28924380,2020-05-19,True
28924380,2020-05-20,True
28924380,2020-05-21,True
28924380,2020-05-22,True
28924380,2020-05-23,True
28924380,2020-05-24,True
28924380,2020-05-25,True
28924380,2020-05-26,True
28924380,2020-05-27,True
28924380,2020-05-28,True
28924380,2020-05-29,True
28924380,2020-05-30,True
28924380,2020-05-31,True
